stage,t_end,grid,candidate,passed,reason,score,mean_rel,max_rel,meets_rtol,rtol_target,growth,peak,nsteps
1,0.1,24x32x24,om=0.01|src=0.01|dn=2|dw=2|ps=0.0002|phi_diss=0|phi_sheath=0|core_omega_damp=1,1,ok,223.9775849042196,153.07255679478763,709.0502810943196,0,0.1,266.6256696990432,7.152853430218592,2000
1,0.1,24x32x24,om=0.01|src=0.05|dn=2|dw=2|ps=0.0002|phi_diss=0|phi_sheath=0|core_omega_damp=1,1,ok,223.97758603589676,153.07255395973098,709.0503207616576,0,0.1,214.00616269904359,5.741212565138821,2000
1,0.1,24x32x24,om=0.05|src=0.01|dn=2|dw=2|ps=0.0002|phi_diss=0|phi_sheath=0|core_omega_damp=1,1,ok,224.0228452247088,153.1067373379839,709.1610788672489,0,0.1,212.37299239892081,5.720719837323032,2000
1,0.1,24x32x24,om=0.05|src=0.05|dn=2|dw=2|ps=0.0002|phi_diss=0|phi_sheath=0|core_omega_damp=1,1,ok,224.0228833201296,153.10675005668048,709.1613326344911,0,0.1,212.36835152562725,5.720594572464962,2000
2,0.5,24x32x24,om=0.01|src=0.01|dn=2|dw=2|ps=0.0002|phi_diss=0|phi_sheath=0|core_omega_damp=1,1,ok,211.85423691912376,140.94920880969178,709.0502810943196,0,0.1,2.036200287110579,7.152853430218592,10000
3,1.0,24x32x24,om=0.01|src=0.01|dn=2|dw=2|ps=0.0002|phi_diss=0|phi_sheath=0|core_omega_damp=1,1,ok,181.0844174060166,110.17938929658462,709.0502810943196,0,0.1,1.7097602850110496,7.152853430218592,20000
